dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.307550,2.614728,5.325003,1.559596,-1.194595,1.219590,1.274990
0.020000,6.316067,2.644235,5.355715,1.535590,-1.200267,-0.283597,1.304300
0.020000,6.323626,2.673494,5.385935,1.510993,-1.229881,-1.480704,1.331338
0.020000,6.330309,2.702442,5.415644,1.485440,-1.277613,-2.386613,1.356181
0.020000,6.336194,2.731016,5.444817,1.458676,-1.338225,-3.030605,1.378926
0.020000,6.341355,2.759157,5.473428,1.430532,-1.407217,-3.449583,1.399683
0.020000,6.345861,2.786810,5.501446,1.400910,-1.481066,-3.692432,1.418570
0.020000,6.349781,2.813924,5.528841,1.369771,-1.556962,-3.794833,1.435709
0.020000,6.353174,2.840450,5.555584,1.337115,-1.632829,-3.793324,1.451221
0.020000,6.356099,2.866345,5.581643,1.302970,-1.707215,-3.719319,1.465225
0.020000,6.358609,2.891568,5.606991,1.267389,-1.779082,-3.593320,1.477836
0.020000,6.360753,2.916083,5.631599,1.230435,-1.847692,-3.430532,1.489164
0.020000,6.362575,2.939857,5.655443,1.192176,-1.912929,-3.261854,1.499312
0.020000,6.364116,2.962859,5.678497,1.152690,-1.974292,-3.068140,1.508380
0.020000,6.365412,2.985062,5.700738,1.112051,-2.031969,-2.883868,1.516459
0.020000,6.366497,3.006442,5.722144,1.070332,-2.085955,-2.699290,1.523636
0.020000,6.367400,3.026974,5.742697,1.027605,-2.136346,-2.519561,1.529991
0.020000,6.368147,3.046638,5.762375,0.983939,-2.183308,-2.348053,1.535600
0.020000,6.368761,3.065416,5.781163,0.939397,-2.227087,-2.188983,1.540532
0.020000,6.369263,3.083290,5.799044,0.894044,-2.267640,-2.027636,1.544852
0.020000,6.369670,3.100246,5.816005,0.848019,-2.301262,-1.681125,1.548622
0.020000,6.369999,3.116285,5.832047,0.802121,-2.294897,0.318252,1.551900
0.020000,6.370264,3.131424,5.847188,0.757078,-2.252138,2.137959,1.554743
0.020000,6.370475,3.145682,5.861448,0.712960,-2.205891,2.312335,1.557201
