dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.736384,2.331736,5.816422,2.594294,-3.918431,-7.136910,1.173163
0.020000,6.755006,2.378438,5.866700,2.513917,-4.018862,-5.021552,1.209407
0.020000,6.771427,2.424230,5.915347,2.432335,-4.079100,-3.011899,1.243362
0.020000,6.785834,2.468972,5.962352,2.350262,-4.103663,-1.228174,1.274990
0.020000,6.798417,2.512558,6.007718,2.268298,-4.098187,0.273789,1.304300
0.020000,6.809359,2.554906,6.051457,2.186924,-4.068705,1.474093,1.331338
0.020000,6.818838,2.595956,6.093587,2.106501,-4.021131,2.378698,1.356181
0.020000,6.827019,2.635668,6.134133,2.027287,-3.960717,3.020715,1.378926
0.020000,6.834053,2.674017,6.173122,1.949450,-3.891814,3.445152,1.399683
0.020000,6.840079,2.710991,6.210583,1.873089,-3.818097,3.685853,1.418570
0.020000,6.845225,2.746586,6.246548,1.798242,-3.742307,3.789493,1.435709
0.020000,6.849604,2.780805,6.281046,1.724912,-3.666514,3.789678,1.451221
0.020000,6.853315,2.813657,6.314108,1.653067,-3.592246,3.713390,1.465225
0.020000,6.856450,2.845155,6.345761,1.582658,-3.520481,3.588228,1.477836
0.020000,6.859088,2.875312,6.376033,1.513622,-3.451762,3.435950,1.489164
0.020000,6.861298,2.904145,6.404951,1.445887,-3.386782,3.249032,1.499312
0.020000,6.863142,2.931671,6.432539,1.379380,-3.325316,3.073259,1.508380
0.020000,6.864674,2.957907,6.458819,1.314027,-3.267681,2.881764,1.516459
0.020000,6.865941,2.982870,6.483814,1.249752,-3.213740,2.697071,1.523636
0.020000,6.866983,3.006577,6.507544,1.186485,-3.163352,2.519401,1.529991
0.020000,6.867837,3.029044,6.530027,1.124157,-3.116381,2.348556,1.535600
0.020000,6.868532,3.050286,6.551281,1.062702,-3.072748,2.181610,1.540532
0.020000,6.869094,3.070320,6.571322,1.002062,-3.032035,2.035648,1.544852
0.020000,6.869547,3.089160,6.590168,0.942266,-2.989797,2.111902,1.548622
0.020000,6.869910,3.106837,6.607849,0.884074,-2.909583,4.010746,1.551900
0.020000,6.870199,3.123398,6.624412,0.828145,-2.796461,5.656082,1.554743
0.020000,6.870428,3.138884,6.639900,0.774409,-2.686774,5.484368,1.557201
0.020000,6.870609,3.153339,6.654356,0.722803,-2.580315,5.322910,1.559320
0.020000,6.870752,3.166804,6.667822,0.673270,-2.476677,5.181912,1.561141
0.020000,6.870863,3.179318,6.680337,0.625756,-2.375698,5.048977,1.562701
0.020000,6.870949,3.190922,6.691941,0.580212,-2.277166,4.926591,1.564033
0.020000,6.871015,3.201654,6.702673,0.536597,-2.180759,4.820321,1.565166
0.020000,6.871066,3.211551,6.712570,0.494869,-2.086404,4.717743,1.566127
0.020000,6.871105,3.220651,6.721670,0.454991,-1.993903,4.625073,1.566939
0.020000,6.871134,3.228990,6.730009,0.416930,-1.903043,4.543007,1.567623
0.020000,6.871156,3.236603,6.737622,0.380656,-1.813708,4.466748,1.568197
0.020000,6.871172,3.243525,6.744545,0.346140,-1.725781,4.396337,1.568676
0.020000,6.871184,3.249793,6.750812,0.313359,-1.639083,4.334902,1.569076
0.020000,6.871193,3.255438,6.756458,0.282288,-1.553539,4.277220,1.569408
0.020000,6.871199,3.260496,6.761516,0.252908,-1.468996,4.227116,1.569682
0.020000,6.871204,3.265000,6.766020,0.225200,-1.385397,4.179994,1.569908
0.020000,6.871207,3.268983,6.770003,0.199148,-1.302574,4.141116,1.570094
0.020000,6.871209,3.272478,6.773498,0.174739,-1.220497,4.103863,1.570245
0.020000,6.871211,3.275517,6.776537,0.151957,-1.139064,4.071663,1.570369
0.020000,6.871212,3.278133,6.779153,0.130794,-1.058162,4.045103,1.570469
0.020000,6.871212,3.280358,6.781377,0.111239,-0.977752,4.020485,1.570549
0.020000,6.871213,3.282224,6.783243,0.093284,-0.897762,3.999488,1.570614
0.020000,6.871213,3.283762,6.784781,0.076922,-0.818098,3.983190,1.570664
0.020000,6.871213,3.285005,6.786024,0.062147,-0.738739,3.967948,1.570704
0.020000,6.871213,3.285984,6.787004,0.048955,-0.659610,3.956491,1.570734
0.020000,6.871213,3.286731,6.787750,0.037342,-0.580666,3.947183,1.570756
0.020000,6.871213,3.287277,6.788296,0.027304,-0.501883,3.939146,1.570773
0.020000,6.871213,3.287654,6.788673,0.018840,-0.423188,3.934761,1.570784
0.020000,6.871213,3.287893,6.788912,0.011948,-0.344584,3.930193,1.570790
0.020000,6.871213,3.288025,6.789045,0.006628,-0.266032,3.927611,1.570794
0.020000,6.871213,3.288083,6.789102,0.002878,-0.187510,3.926100,1.570796
0.020000,6.871213,3.288097,6.789116,0.000698,-0.109003,3.925326,1.570796
0.020000,6.871213,3.288097,6.789116,0.000000,-0.034876,3.706352,1.570796
